Estado,Municipio,Parroquia,Centro,Número de Electores escrutados.,Número de Actas Procesadas.,Número total de Votos Nulos.,Número Total de Votantes que votaron realmente.,HUGO CHAVEZ,Número total de Votos Válidos.,ORLANDO CHIRINO,REINA SEQUERA,LUIS REYES,MARIA BOLIVAR,HENRIQUE CAPRILES RADONSKI,Número de Votos Escrutados.
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL UNITARIA NUMERO 126,232,1,5,177,103,172,0,1,0,0,68,177
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL UNITARIA NUMERO 125,343,1,4,284,223,280,0,5,0,0,52,284
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA UNITARIA NUMERO 117,491,1,11,433,301,422,1,1,2,0,117,433
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA MUNICIPAL GUANARITO,3105,6,68,2592,1705,2524,0,6,2,0,811,2592
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA FRAY ANDRES GRAZALEMA,1462,3,58,1254,784,1196,1,5,3,0,403,1254
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA MONSEÑOR UNDA,2895,6,50,2285,1333,2235,0,10,5,0,887,2285
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCC.BOLIVARIANA SIMON RODRIGUEZ,450,1,13,388,320,375,0,4,0,0,51,388
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA BASICA UNITARIA NUMERO 512,392,1,3,329,292,326,0,3,1,0,30,329
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,ESCUELA ESTADAL CONCENTRADA 124,447,1,8,346,209,338,0,0,0,0,129,346
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,CICLO COMBINADO ARTURO CELESTINO ALVAREZ,2432,5,55,1951,1259,1896,1,4,5,0,627,1951
EDO. PORTUGUESA,MP. GUANARITO,CM. GUANARITO,PARQUE DE RECREACION DIRIGIDA CONSEJO VENEZOLANO DEL NIÑO,1347,3,26,1051,649,1025,0,4,3,0,369,1051
EDO. PORTUGUESA,MP. GUANARITO,PQ.TRINIDAD DE LA CAPILLA,ESCUELA ESTADAL BASICA NUMERO 110,736,2,10,554,432,544,1,1,3,1,106,554
EDO. PORTUGUESA,MP. GUANARITO,PQ.TRINIDAD DE LA CAPILLA,ESCUELA ESTADAL BASICA UNITARIA NUMERO 122,296,1,2,208,186,206,0,0,0,0,20,208
EDO. PORTUGUESA,MP. GUANARITO,PQ.TRINIDAD DE LA CAPILLA,ESCUELA ESTADAL CONCENTRADA NUMERO 112,504,1,5,368,315,363,0,1,1,1,45,368
EDO. PORTUGUESA,MP. GUANARITO,PQ.TRINIDAD DE LA CAPILLA,ESCUELA ESTADAL CONCENTRADA NUMERO 113
EDO. PORTUGUESA,MP. GUANARITO,PQ.TRINIDAD DE LA CAPILLA,E.B.E. CONCENTRADA N° 111 LA ARENOSA NER 7,181,1,5,157,142,152,0,1,0,0,9,157
EDO. PORTUGUESA,MP. GUANARITO,PQ.TRINIDAD DE LA CAPILLA,ESCUELA ESTADAL CONCENTRADA NUMERO 204
EDO. PORTUGUESA,MP. GUANARITO,PQ.TRINIDAD DE LA CAPILLA,ESCUELA ESTADAL CONCENTRADA NUMERO 36,196,1,1,164,154,163,0,1,0,0,8,164
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA ESTADAL EL TIGRE NUMERO 156,109,1,2,106,104,104,0,0,0,0,0,106
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA CONCENTRADA NACIONAL SIN NUMERO,518,1,2,332,287,330,1,4,2,1,35,332
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA ESTADAL UNITARIA NUMERO 328,607,2,9,488,331,479,0,2,0,0,146,488
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA ESTADAL SIN NUMERO BELLA TOVAR,129,1,3,119,77,116,0,1,0,0,38,119
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA MAMARIA,324,1,11,283,247,272,0,0,0,0,25,283
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA GRADUADA LA CORTEZA,1897,4,37,1509,1087,1472,1,15,4,0,365,1509
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA BOLIVARIANA FRAY FELIPE DE PALMA,378,1,5,332,266,327,0,0,0,0,61,332
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA BOLIVARIANA PARAPARITO,264,1,3,210,198,207,0,1,0,0,8,210
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,UNIDAD EDUCATIVA NACIONAL LA CORTEZA,1042,2,15,875,645,860,0,4,0,0,211,875
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA ESTADAL NUMERO 482 NUCLEO 09.,327,1,1,241,232,240,0,0,0,0,8,241
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA CONCENTRADA TIPO NUMERO 327,614,2,18,517,407,499,0,2,0,0,90,517
EDO. PORTUGUESA,MP. OSPINO,PQ. APARICION,ESCUELA BASICA CONCENTRADA SIN NUMERO,215,1,6,167,126,161,0,0,0,0,35,167
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,UNIDAD EDUCATIVA GABRIEL PEREZ DE PAGOLA,1168,2,15,996,474,981,0,7,0,0,500,996
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA TECNICA AGROPECUARIA OSPINO,1214,3,19,934,444,915,2,7,0,0,462,934
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA CONCENTRADA EL JOBAL NUMERO 333,199,1,2,159,139,157,0,1,0,0,17,159
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA UNITARIA NUMERO 339,103,1,0,96,96,96,0,0,0,0,0,96
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA CONCENTRADA NUMERO 485,622,2,7,528,374,521,0,1,0,0,146,528
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA CONCENTRADA NUMERO 483,338,1,1,257,211,256,0,3,0,1,41,257
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,CENTRO DE EDUCACION INICIAL NEGRA HIPOLITA,209,1,5,191,167,186,0,0,0,0,19,191
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA UNITARIA LAS QUESERAS NUMERO 341,140,1,2,128,69,126,0,0,0,0,57,128
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL CONCENTRADA MIXTA NUMERO 330,512,1,2,425,361,423,2,2,0,0,58,425
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA BASICA BATALLA DE OSPINO,976,2,21,827,599,806,0,6,0,0,201,827
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL UNITARIA NUMERO 148,77,1,1,69,60,68,0,1,0,0,7,69
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL CONCENTRADA NUMERO 152,859,2,13,668,494,655,0,3,0,0,158,668
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESPECIAL CONCENTRADA NUMERO 153,304,1,7,209,144,202,0,1,2,0,55,209
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA NACIONAL GRADUADA OSPINO,1393,3,38,1107,827,1069,0,12,3,0,227,1107
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA GRADUADA BARRIO ARRIBA,1795,3,16,1485,995,1469,1,7,1,1,464,1485
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL UNITARIA SIN NUMERO,272,1,4,220,167,216,0,3,1,0,45,220
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA CONCENTRADA MIXTA NUMERO 334,357,1,8,274,238,266,0,2,0,0,26,274
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA BASICA NACIONAL CIUDAD TRUJILLO,1522,3,26,1233,540,1207,0,10,0,1,656,1233
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL CONCENTRADA NUMERO 331,493,1,6,412,339,406,0,6,0,0,61,412
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL CONCENTRADA NUMERO 332,413,1,5,330,285,325,0,1,0,0,39,330
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA NERIA DE QUINTERO,2235,4,48,1791,1247,1743,1,12,1,0,482,1791
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA UNITARIA 488,138,1,0,130,127,130,0,0,0,0,3,130
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL NUMERO 369,408,1,5,316,227,311,0,8,0,1,75,316
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL CONCENTRADA NUMERO 157 LIBERTADOR,1127,2,37,892,733,855,0,6,2,1,113,892
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA PRIMARIA OSPINO REAL,230,1,5,209,142,204,0,1,0,0,61,209
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA ESTADAL UNITARIA NUMERO 340 MATAPELADA,210,1,4,157,111,153,0,1,1,0,40,157
EDO. PORTUGUESA,MP. OSPINO,CM. OSPINO,ESCUELA BASICA DANIEL CAMEJO ACOSTA,931,2,23,806,490,783,0,3,2,0,288,806
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA CONCENTRADA MIXTA 351,358,1,6,216,166,210,0,0,2,0,42,216
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL UNITARIA NUMERO 329,165,1,6,122,95,116,0,0,0,0,21,122
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA BOLIVARIANA JOBILLAL,57,1,1,41,39,40,1,0,0,0,0,41
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 361,528,1,8,376,307,368,0,5,1,0,55,376
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL UNITARIA NUMERO 344,392,1,3,242,179,239,0,2,1,0,57,242
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 323,814,2,21,513,433,492,0,2,0,0,57,513
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL UNITARIA NUMERO 349,109,1,1,94,80,93,0,1,1,0,11,94
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 324,256,1,4,202,183,198,0,1,0,0,14,202
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 359,493,1,6,352,309,346,1,4,0,0,32,352
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 93,74,1,0,57,54,57,0,0,0,0,3,57
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL NUMERO 355,186,1,3,158,141,155,0,1,0,0,13,158
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 353,108,1,3,71,57,68,0,3,0,0,8,71
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA CONCENTRADA NUMERO 345,174,1,4,134,96,130,0,1,0,0,33,134
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA CONCENTRADA NUMERO 346,52,1,0,41,41,41,0,0,0,0,0,41
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA BOLIVARIANA EL RODEO,148,1,6,124,76,118,0,1,0,0,41,124
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL UNITARIA NUMERO 146,117,1,3,62,46,59,0,0,0,0,13,62
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL UNITARIA SIN NUMERO,63,1,1,50,44,49,0,0,1,0,4,50
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL UNITARIA NUMERO 354,81,1,0,68,57,68,0,3,0,0,8,68
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL UNITARIA NUMERO 358,169,1,1,121,118,120,0,0,0,0,2,121
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA CONCENTRADA MIXTA SIN NUMERO,338,1,4,261,245,257,0,2,0,0,10,261
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 348,132,1,3,113,101,110,0,1,0,0,8,113
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL CONCENTRADA NUMERO 84,130,1,2,98,89,96,0,1,0,0,6,98
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA ESTADAL NUMERO 343,424,1,7,313,234,306,0,4,0,0,68,313
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA BASICA COSPES,1245,3,24,1011,752,987,0,5,1,0,229,1011
EDO. PORTUGUESA,MP. OSPINO,PQ. LA ESTACION,ESCUELA NACIONAL UNITARIA GUACHE DE GARABOTE,437,1,1,295,276,294,0,2,0,0,16,295
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA ESTADAL CONCENTRADA NUMERO 01,540,1,6,453,371,447,1,2,0,0,73,453
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA ESTADAL CONCENTRADA NUMERO 10,296,1,3,233,180,230,1,3,0,0,46,233
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA NACIONAL CONCENTRADA NUMERO 3872 BARRIALITO,355,1,3,282,253,279,0,3,2,0,21,282
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA ESTADAL CONCENTRADA NUMERO 04,287,1,7,264,242,257,0,0,0,0,15,264
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA NACIONAL CONCENTRADA NUMERO 229 Y 105 ANEXA,781,2,14,650,536,636,0,3,1,0,96,650
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA ESTADAL UNITARIA NUMERO 504,135,1,0,121,119,121,0,0,1,0,1,121
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA  ESTADAL CONCENTRADA NUMERO 02,611,2,16,521,455,505,0,1,0,0,49,521
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA ESTADAL CONCENTRADA NUMERO 69,632,2,8,558,501,550,0,3,0,0,46,558
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA BASICA SAN NICOLAS,1728,3,39,1407,1047,1368,1,6,0,0,314,1407
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA ESTADAL CONCENTRADA NUMERO 40,344,1,14,289,242,275,0,0,1,0,32,289
EDO. PORTUGUESA,MP.GENARO BOCONOITO,PQ. ANTOLIN TOVAR AQUINO,ESCUELA NACIONAL UNITARIA NUMERO 3573,255,1,5,215,188,210,0,1,0,0,21,215
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA BASICA CARLOS QUINTERO ALEGRIA,2918,5,39,2306,1786,2267,0,17,2,0,462,2306
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA ESTADAL CONCENTRADA NUMERO 465,207,1,5,180,132,175,0,6,0,0,37,180
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA CONCENTRADA NACIONAL SIPORORO NUMERO 1629S N ANEXA 83,1093,2,20,903,807,883,0,4,1,0,71,903
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA ESTADAL CONCENTRADA NUMERO 21,419,1,6,355,285,349,0,2,1,0,61,355
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA ESTADAL NUMERO 464,1030,2,18,879,662,861,1,6,0,0,192,879
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA ESTADAL CONCENTRADA NUMERO 3,501,1,5,415,382,410,0,2,0,0,26,415
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA NACIONAL CONCENTRADA NUMERO 2882 Y ANEXA 85,1708,3,40,1411,1055,1371,0,8,0,0,308,1411
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,ESCUELA ESTADAL CONCENTRADA NUMERO 24 PUENTE PAEZ,550,1,8,425,379,417,0,3,0,0,35,425
EDO. PORTUGUESA,MP.GENARO BOCONOITO,CM. BOCONOITO,UNIDAD EDUCATIVA NACIONAL BOCONOITO,1940,4,31,1630,1317,1599,0,5,0,1,276,1630
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,ESCUELA BASICA TRINA DE MORENO,1003,2,14,840,644,826,0,3,0,1,178,840
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,INSTITUTO DE EDUCACION ESPECIAL  MARIA BELEN DE SIVIRA,678,2,12,591,391,579,0,2,0,0,186,591
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,ESCUELA ESTADAL EL HIJITO NUMERO 182,462,1,7,388,345,381,0,3,1,0,32,388
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,ESCUELA NACIONAL CONCENTRADA MANGO MOCHO,1172,2,22,1008,722,986,0,10,0,0,254,1008
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,ESCUELA ESTADAL CONCENTRADA NUMERO 185 MARINA DE CONTRERAS,546,1,7,485,408,478,0,3,1,0,66,485
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,UNIDAD EDUCATIVA MENCA DE LEONI,3155,6,80,2518,1596,2438,1,21,0,0,820,2518
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,ESCUELA BASICA ESTADAL CONCENTRADA PASO COJEDES,178,1,4,149,130,145,0,1,0,0,14,149
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,CICLO COMBINADO JOSE DE LA CRUZ PAREDES,1218,3,13,1037,618,1024,0,9,1,0,396,1037
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,CM. SAN RAFAEL DE ONOTO,ESCUELA ESTADAL CONCENTRADA NUMERO 166 TEJERIAS,1267,3,26,1051,773,1025,0,4,0,1,247,1051
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,PQ. SANTA FE,ESCUELA CONCENTRADA SANTA FE,966,2,12,849,652,837,1,1,2,0,181,849
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,PQ. THERMO MORLES,ESCUELA NACIONAL CONCENTRADA EL MORRO,357,1,4,296,261,292,0,1,0,0,30,296
EDO. PORTUGUESA,MP.S RAFAEL DE ONOTO,PQ. THERMO MORLES,ESCUELA BASICA ALGARROBITO NUMERO 6,1267,3,22,1000,714,978,0,11,0,0,253,1000
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA ESTADAL GUILLERMO GAMARRA MARRERO,2005,4,47,1687,1094,1640,0,11,1,1,533,1687
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA CONCENTRADA NUMERO 44,100,1,2,84,73,82,0,0,0,0,9,84
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,CENTRO EDUCATIVO RECREACIONAL  GRISELDA DE LA RIVA,223,1,5,191,143,186,0,0,0,0,43,191
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA MULTIGRADO NACIONAL SIN NUMERO,309,1,2,115,88,113,0,0,0,0,25,115
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA ESTADAL MULTIGRADO NUMERO 222,218,1,1,151,112,150,0,0,0,0,38,151
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,CICLO DIVERCIFICADO CARLOS EMILIO MUÑOZ ORAA,2379,4,31,1982,1131,1951,0,14,0,2,804,1982
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA CONCENTRADA MIXTA NUMERO 1810 82
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA ORLANDO GIL CASA DIEGO,3562,7,65,3109,1629,3044,1,15,3,0,1396,3109
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,JARDIN DE INFANCIA GUANARE INAN,821,2,17,684,275,667,0,1,0,0,391,684
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESC. BOLIVARIANA  SOL DE JUSTICIA,592,1,13,517,467,504,3,1,2,0,31,517
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA LIBERTADOR,1435,3,31,1200,987,1169,0,5,1,0,176,1200
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA CONCENTRADA MIXTA NUMERO 1808 Y 90,734,2,13,575,455,562,1,2,1,0,103,575
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA ESTADAL CONCENTRADA SIN NUMERO OJO DE AGUA LA CAMPIÑA NER NUMERO 34,101,1,3,94,76,91,0,0,0,0,15,94
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,BIBLIOTECA PUBLICA DOCTOR ALIRIO UGARTE PELAYO,1489,3,26,1221,534,1195,0,7,1,1,652,1221
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA NACIONAL DOCTOR MELITON VARGAS,2890,5,52,2226,1280,2174,3,17,3,0,871,2226
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA DOCTOR CARLOS RODRIGUEZ ORTIZ,1314,3,30,1149,769,1119,0,8,0,0,342,1149
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA MARIA CONCEPCION PALACIOS,2948,6,42,2469,1608,2427,2,17,2,0,798,2469
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA TECNICA INDUSTRIAL GUANARE,1567,3,37,1292,861,1255,1,9,2,1,381,1292
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA MIGUEL ANTONIO VASQUEZ,2984,6,99,2440,2072,2341,1,11,3,1,253,2440
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA BASICA LUIS FAJARDO GALENO,1265,3,46,1083,730,1037,0,7,3,0,297,1083
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA ESTADAL UNITARIA NUMERO 81,322,1,1,233,215,232,0,2,1,0,14,233
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,ESCUELA ESTADAL CONCENTRADA NUMERO 48,544,1,7,439,367,432,0,3,0,0,62,439
EDO. PORTUGUESA,CE. GUANARE,CM. GUANARE,COLEGIO ADVENTISTA ANDRES BELLO,778,2,10,689,281,679,0,8,1,1,388,689
